From,Package,License
github.com/AlecAivazis/survey/v2,github.com/AlecAivazis/survey/v2,MIT
github.com/AlecAivazis/survey/v2,github.com/AlecAivazis/survey/v2/core,MIT
github.com/AlecAivazis/survey/v2,github.com/AlecAivazis/survey/v2/terminal,MIT
github.com/DataDog/appsec-internal-go,github.com/DataDog/appsec-internal-go/httpsec,Apache-2.0
github.com/DataDog/appsec-internal-go,github.com/DataDog/appsec-internal-go/netip,Apache-2.0
github.com/DataDog/datadog-agent/pkg/obfuscate,github.com/DataDog/datadog-agent/pkg/obfuscate,Apache-2.0
github.com/DataDog/datadog-agent/pkg/remoteconfig/state,github.com/DataDog/datadog-agent/pkg/remoteconfig/state,Apache-2.0
github.com/DataDog/datadog-go,github.com/DataDog/datadog-go/statsd,MIT
github.com/DataDog/datadog-go/v5,github.com/DataDog/datadog-go/v5/statsd,MIT
github.com/DataDog/go-libddwaf,github.com/DataDog/go-libddwaf,Apache-2.0
github.com/DataDog/go-libddwaf,github.com/DataDog/go-libddwaf/include,Apache-2.0
github.com/DataDog/go-libddwaf,github.com/DataDog/go-libddwaf/lib/darwin-amd64,Apache-2.0
github.com/DataDog/go-libddwaf,github.com/DataDog/go-libddwaf/lib/darwin-arm64,Apache-2.0
github.com/DataDog/go-libddwaf,github.com/DataDog/go-libddwaf/lib/linux-amd64,Apache-2.0
github.com/DataDog/go-libddwaf,github.com/DataDog/go-libddwaf/lib/linux-arm64,Apache-2.0
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/client,BSD-3-Clause
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/data,BSD-3-Clause
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/internal/roles,BSD-3-Clause
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/internal/sets,BSD-3-Clause
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/pkg/keys,BSD-3-Clause
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/pkg/targets,BSD-3-Clause
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/util,BSD-3-Clause
github.com/DataDog/go-tuf,github.com/DataDog/go-tuf/verify,BSD-3-Clause
github.com/DataDog/gostackparse,github.com/DataDog/gostackparse,Apache-2.0
github.com/DataDog/jsonapi,github.com/DataDog/jsonapi,Apache-2.0
github.com/DataDog/sketches-go,github.com/DataDog/sketches-go/ddsketch,Apache-2.0
github.com/DataDog/sketches-go,github.com/DataDog/sketches-go/ddsketch/encoding,Apache-2.0
github.com/DataDog/sketches-go,github.com/DataDog/sketches-go/ddsketch/mapping,Apache-2.0
github.com/DataDog/sketches-go,github.com/DataDog/sketches-go/ddsketch/pb/sketchpb,Apache-2.0
github.com/DataDog/sketches-go,github.com/DataDog/sketches-go/ddsketch/stat,Apache-2.0
